# x_Ainv held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz held_b7_THz held_b8_THz held_b9_THz held_b10_THz held_b11_THz held_b12_THz held_b13_THz held_b14_THz held_b15_THz held_b16_THz held_b17_THz held_b18_THz held_b19_THz held_b20_THz held_b21_THz held_b22_THz held_b23_THz held_b24_THz held_b25_THz held_b26_THz held_b27_THz held_b28_THz held_b29_THz held_b30_THz
2.076498081465e-01 -3.081201632817e+01 -2.192378352903e+01 -1.951604842804e+01 -1.790825936947e+01 -1.602569109259e+01 -1.550933768482e+01 -1.444783847123e+01 -1.284116454215e+01 -1.060506508720e+01 -8.325080667396e+00 -5.982365319270e+00 -5.784509117749e+00 -4.412154093938e+00 1.213679291390e+00 4.895890985244e+00 6.244007384068e+00 6.845670716879e+00 8.722511617786e+00 1.056594879639e+01 1.213093393554e+01 1.245572614268e+01 1.504744788547e+01 1.541619960105e+01 1.611735096267e+01 1.791113161771e+01 1.951523869544e+01 2.179233925799e+01 2.249137797238e+01 2.445879733436e+01 3.051813507041e+01
2.198645027434e-01 -3.081475937818e+01 -2.195846008220e+01 -1.958230971913e+01 -1.793557612317e+01 -1.603828407006e+01 -1.555131674760e+01 -1.444822599954e+01 -1.302252394161e+01 -1.054256964914e+01 -8.301308376002e+00 -6.035181932728e+00 -6.028658243582e+00 -4.344678562259e+00 1.348501643100e+00 5.097271363255e+00 6.459594303275e+00 6.842740092962e+00 8.789701773068e+00 1.057013553799e+01 1.211630069901e+01 1.248453476470e+01 1.506940094875e+01 1.542596973988e+01 1.611829174677e+01 1.789579745755e+01 1.955812511027e+01 2.185614966607e+01 2.247849367808e+01 2.446293266845e+01 3.054545628463e+01
2.320791973402e-01 -3.081760652070e+01 -2.199519606139e+01 -1.965168217841e+01 -1.796240581077e+01 -1.605088026139e+01 -1.559768171862e+01 -1.444808307175e+01 -1.320145881152e+01 -1.048128569328e+01 -8.276975134328e+00 -6.255684028993e+00 -6.082853254655e+00 -4.269258772626e+00 1.465473496769e+00 5.293354289633e+00 6.663576489373e+00 6.843777444533e+00 8.856188209773e+00 1.057437099273e+01 1.210079900059e+01 1.251368117460e+01 1.508812394294e+01 1.543739272547e+01 1.611943402616e+01 1.787973342270e+01 1.960011691570e+01 2.192433436701e+01 2.246495820685e+01 2.446731449940e+01 3.057406032439e+01
2.442938919371e-01 -3.082054839850e+01 -2.203395889022e+01 -1.972404343618e+01 -1.798855997862e+01 -1.606342555118e+01 -1.564905685196e+01 -1.444740326193e+01 -1.337661388219e+01 -1.042178473034e+01 -8.253151823383e+00 -6.465252342066e+00 -6.124967478237e+00 -4.185792085945e+00 1.570536851948e+00 5.481836535053e+00 6.850410007651e+00 6.856303633568e+00 8.921736821755e+00 1.057864440562e+01 1.208453542778e+01 1.254301005306e+01 1.510356966812e+01 1.545049449940e+01 1.612079797847e+01 1.786296279846e+01 1.964092252765e+01 2.199678413949e+01 2.245078819863e+01 2.447194204023e+01 3.060390132540e+01
2.565085865339e-01 -3.082357500324e+01 -2.207470536998e+01 -1.979926463698e+01 -1.801387028290e+01 -1.607586988758e+01 -1.570616093678e+01 -1.444618521819e+01 -1.354660360694e+01 -1.036463267122e+01 -8.231319218254e+00 -6.656665189972e+00 -6.161102079879e+00 -4.093996896157e+00 1.667489544352e+00 5.659899799845e+00 6.864962733254e+00 7.038135107034e+00 8.986091696143e+00 1.058294713151e+01 1.206764219364e+01 1.257237089783e+01 1.511575051145e+01 1.546527589632e+01 1.612240350613e+01 1.784550983184e+01 1.968030302818e+01 2.207333978166e+01 2.243600169179e+01 2.447681393172e+01 3.063493113156e+01
2.687232811308e-01 -3.082667565703e+01 -2.211738150666e+01 -1.987721112397e+01 -1.803818967582e+01 -1.608816671797e+01 -1.576978738085e+01 -1.444443163506e+01 -1.371002585706e+01 -1.031038381197e+01 -8.213551335216e+00 -6.828617164029e+00 -6.190830071341e+00 -3.993472723248e+00 1.758911986580e+00 5.823937056328e+00 6.890682811714e+00 7.209433655281e+00 9.048974778197e+00 1.058727257818e+01 1.205027822238e+01 1.260161905839e+01 1.512471815791e+01 1.548172384260e+01 1.612426997876e+01 1.782739968682e+01 1.971807342196e+01 2.215379513881e+01 2.242061814962e+01 2.448192820196e+01 3.066709933970e+01
2.809379757276e-01 -3.082983899416e+01 -2.216192256961e+01 -1.995774319732e+01 -1.806139307881e+01 -1.610027243957e+01 -1.584076155975e+01 -1.444214835596e+01 -1.386549938720e+01 -1.025957273156e+01 -8.202710675926e+00 -6.978979401802e+00 -6.213729383986e+00 -3.883713159991e+00 1.846631993691e+00 5.969511184038e+00 6.931744112087e+00 7.370559804080e+00 9.110088539508e+00 1.059161615962e+01 1.203262959779e+01 1.263061667775e+01 1.513054388409e+01 1.549982266896e+01 1.612641596060e+01 1.780865839845e+01 1.975410118783e+01 2.223790224084e+01 2.240465847827e+01 2.448728223149e+01 3.070035334997e+01
2.931526703245e-01 -3.083305294334e+01 -2.220825337690e+01 -2.004071692561e+01 -1.808337757332e+01 -1.611214588953e+01 -1.591987064340e+01 -1.443934360865e+01 -1.401172969136e+01 -1.021270411784e+01 -8.202504897343e+00 -7.104735623067e+00 -6.229395066519e+00 -3.764096789908e+00 1.931984041789e+00 6.092040971605e+00 6.992534195157e+00 7.521865819423e+00 9.169121849636e+00 1.059597527061e+01 1.201490911775e+01 1.265923354556e+01 1.513330333646e+01 1.551956187138e+01 1.612885892611e+01 1.778931282608e+01 1.978830258020e+01 2.232537804385e+01 2.238814503565e+01 2.449287272405e+01 3.073463842238e+01
3.053673649213e-01 -3.083630471048e+01 -2.225628879357e+01 -2.012598498837e+01 -1.810406215241e+01 -1.612374789151e+01 -1.600776805248e+01 -1.443602736884e+01 -1.414760091352e+01 -1.017024085498e+01 -8.217055345370e+00 -7.202411455333e+00 -6.237453738325e+00 -3.633862308556e+00 2.015965086916e+00 6.188570314648e+00 7.075865756340e+00 7.663688462337e+00 9.225759281570e+00 1.060034929241e+01 1.199735467814e+01 1.268734786702e+01 1.513306774094e+01 1.554093851395e+01 1.613161496756e+01 1.776939060598e+01 1.982063728707e+01 2.237110163071e+01 2.241591216270e+01 2.449869568318e+01 3.076989773959e+01
3.175820595182e-01 -3.083958076232e+01 -2.230593442013e+01 -2.021339752793e+01 -1.812338708513e+01 -1.613504086894e+01 -1.610486637006e+01 -1.443221084217e+01 -1.427227981806e+01 -1.013259107164e+01 -8.249613774779e+00 -7.269357720787e+00 -6.237579431693e+00 -3.492066795042e+00 2.099333428436e+00 6.259633772998e+00 7.181097363325e+00 7.796340080329e+00 9.279694051149e+00 1.060473963811e+01 1.198022621119e+01 1.271484695199e+01 1.512990115781e+01 1.556395472081e+01 1.613469849915e+01 1.774892010402e+01 1.985110209789e+01 2.235355351289e+01 2.250917496889e+01 2.450474639468e+01 3.080607247627e+01
