segment,q_index,combined_path_distance,mode,original_cm-1,symmetry_fixed_cm-1,delta_cm-1
1,7,0.15201300,4,278.233300,278.252800,0.019500
1,7,0.15201300,5,341.409900,341.232200,-0.177700
1,7,0.15201300,6,343.131000,343.237700,0.106700
1,7,0.15201300,7,354.043100,353.710800,-0.332300
1,7,0.15201300,8,360.626000,360.571000,-0.055000
1,7,0.15201300,9,372.345900,372.203100,-0.142800
1,7,0.15201300,10,394.830100,394.861200,0.031100
1,7,0.15201300,11,397.832100,397.633700,-0.198400
1,7,0.15201300,12,411.749500,411.661000,-0.088500
1,7,0.15201300,13,422.659100,422.568700,-0.090400
1,7,0.15201300,14,433.155400,433.133200,-0.022200
1,7,0.15201300,15,435.697700,435.856300,0.158600
1,7,0.15201300,16,461.621700,461.535300,-0.086400
1,7,0.15201300,17,501.672600,501.456600,-0.216000
1,7,0.15201300,18,535.187600,534.994000,-0.193600
1,7,0.15201300,19,546.585600,546.257500,-0.328100
1,7,0.15201300,20,549.492600,549.464700,-0.027900
1,7,0.15201300,21,555.572900,555.605200,0.032300
1,7,0.15201300,22,561.050300,561.040000,-0.010300
1,7,0.15201300,23,579.567100,579.248400,-0.318700
1,7,0.15201300,24,606.762100,606.619900,-0.142200
1,7,0.15201300,25,623.366700,623.420000,0.053300
1,7,0.15201300,26,660.719600,660.728200,0.008600
1,7,0.15201300,27,715.901700,715.302300,-0.599400
1,7,0.15201300,28,717.322100,716.933800,-0.388300
1,7,0.15201300,29,720.488800,720.123000,-0.365800
1,7,0.15201300,30,855.561100,855.521600,-0.039500
1,8,0.17372900,1,61.551200,61.162500,-0.388700
1,8,0.17372900,2,67.124100,66.769800,-0.354300
1,8,0.17372900,3,118.500700,118.355000,-0.145700
1,8,0.17372900,4,276.763500,276.777000,0.013500
1,8,0.17372900,5,338.509300,338.342300,-0.167000
1,8,0.17372900,6,339.457900,339.564300,0.106400
1,8,0.17372900,7,353.628300,353.267100,-0.361200
1,8,0.17372900,8,359.897800,359.834300,-0.063500
1,8,0.17372900,9,371.685500,371.556800,-0.128700
1,8,0.17372900,10,394.411400,394.443300,0.031900
1,8,0.17372900,11,397.544100,397.335500,-0.208600
1,8,0.17372900,12,414.370400,414.274400,-0.096000
1,8,0.17372900,13,423.037700,422.936000,-0.101700
1,8,0.17372900,14,435.334900,435.311200,-0.023700
1,8,0.17372900,15,439.571300,439.730600,0.159300
1,8,0.17372900,16,462.944800,462.807400,-0.137400
1,8,0.17372900,17,499.589200,499.384100,-0.205100
1,8,0.17372900,18,533.273300,533.027300,-0.246000
1,8,0.17372900,19,544.997700,544.636800,-0.360900
1,8,0.17372900,20,549.295900,549.266700,-0.029200
1,8,0.17372900,21,555.970400,555.974500,0.004100
1,8,0.17372900,22,559.101800,559.074000,-0.027800
1,8,0.17372900,23,577.101200,576.800300,-0.300900
1,8,0.17372900,24,607.292500,607.156000,-0.136500
1,8,0.17372900,25,625.777200,625.857200,0.080000
1,8,0.17372900,26,660.295100,660.373000,0.077900
1,8,0.17372900,27,716.050500,715.390400,-0.660100
1,8,0.17372900,28,717.958800,717.483400,-0.475400
1,8,0.17372900,29,721.099700,720.717100,-0.382600
1,8,0.17372900,30,854.358500,854.318100,-0.040400
1,9,0.19544500,1,69.205100,68.778400,-0.426700
1,9,0.19544500,2,75.539900,75.150800,-0.389100
1,9,0.19544500,3,133.044800,132.875800,-0.169000
1,9,0.19544500,4,275.146400,275.152400,0.006000
1,9,0.19544500,5,335.548800,335.397800,-0.151000
1,9,0.19544500,6,335.721400,335.818800,0.097400
1,9,0.19544500,7,353.220300,352.830100,-0.390200
1,9,0.19544500,8,358.990000,358.926600,-0.063400
1,9,0.19544500,9,370.853300,370.728500,-0.124800
1,9,0.19544500,10,393.797400,393.830100,0.032700
1,9,0.19544500,11,397.326700,397.110200,-0.216500
1,9,0.19544500,12,416.839600,416.728700,-0.110900
1,9,0.19544500,13,423.865600,423.761800,-0.103800
1,9,0.19544500,14,437.681400,437.654200,-0.027200
1,9,0.19544500,15,443.322400,443.478500,0.156100
1,9,0.19544500,16,464.480300,464.288600,-0.191700
1,9,0.19544500,17,497.481500,497.285000,-0.196500
1,9,0.19544500,18,530.983400,530.697500,-0.285900
1,9,0.19544500,19,543.254800,542.862700,-0.392100
1,9,0.19544500,20,549.139000,549.102900,-0.036100
1,9,0.19544500,21,556.311100,556.271200,-0.039900
1,9,0.19544500,22,557.015500,556.961900,-0.053600
1,9,0.19544500,23,574.905800,574.638500,-0.267300
1,9,0.19544500,24,607.753100,607.621900,-0.131200
1,9,0.19544500,25,628.007000,628.112700,0.105700
1,9,0.19544500,26,659.720500,659.867200,0.146700
1,9,0.19544500,27,716.213100,715.488600,-0.724500
1,9,0.19544500,28,718.565400,717.998400,-0.567000
1,9,0.19544500,29,721.996200,721.595500,-0.400700
1,9,0.19544500,30,852.997300,852.955500,-0.041800
1,10,0.21716100,1,76.836700,76.375400,-0.461300
