volume,temperature_K,species,mean_Uiso_A2,mean_total_MSD_A2
V102,50,O,0.002975956797374575,0.008927870392123725
V102,75,Fe,0.0018081745869296532,0.005424523760788959
V102,75,O,0.003075305530996745,0.009225916592990234
V102,100,Fe,0.0020258608944109958,0.006077582683232987
V102,100,O,0.0032154900872425774,0.009646470261727732
V102,125,Fe,0.0022817317582759246,0.006845195274827774
V102,125,O,0.003393263991334054,0.010179791974002162
V102,150,Fe,0.0025626540664208837,0.007687962199262651
V102,150,O,0.003603614388955059,0.010810843166865177
V102,175,Fe,0.002860514619241038,0.008581543857723114
V102,175,O,0.003841077769515182,0.011523233308545546
V102,200,Fe,0.0031702110894627875,0.009510633268388363
V102,200,O,0.0041006472150068585,0.012301941645020575
V102,225,Fe,0.003488435731877663,0.010465307195632989
V102,225,O,0.004378099668548518,0.013134299005645554
V102,250,Fe,0.0038129752157508956,0.011438925647252686
V102,250,O,0.00467001417276441,0.01401004251829323
V102,275,Fe,0.004142303855117261,0.012426911565351783
V102,275,O,0.004973670451576816,0.01492101135473045
V102,300,Fe,0.004475341295060228,0.013426023885180684
V102,300,O,0.005286919768178965,0.015860759304536894
V102,325,Fe,0.0048113039180212565,0.01443391175406377
V102,325,O,0.005608064830359023,0.01682419449107707
V102,350,Fe,0.005149611055429237,0.01544883316628771
V102,350,O,0.005935759865203464,0.017807279595610393
V102,375,Fe,0.005489824158001703,0.01646947247400511
V102,375,O,0.006268931532235243,0.018806794596705728
V102,400,Fe,0.0058316063392829425,0.01749481901784883
V102,400,O,0.006606717788122464,0.01982015336436739
V102,425,Fe,0.006174694844264525,0.018524084532793576
V102,425,O,0.006948421106163731,0.020845263318491195
V102,450,Fe,0.006518881918026809,0.019556645754080428
V102,450,O,0.00729347277846691,0.02188041833540073
V102,475,Fe,0.0068640012561571664,0.0205920037684715
V102,475,O,0.0076414056336576025,0.022924216900972808
V102,500,Fe,0.007209918240626382,0.021629754721879144
V102,500,O,0.007991833101789943,0.023975499305369827
V102,525,Fe,0.007556522791349955,0.022669568374049865
V102,525,O,0.008344433061043929,0.025033299183131786
V102,550,Fe,0.007903724056432361,0.023711172169297082
V102,550,O,0.00869893529481328,0.026096805884439838
V102,575,Fe,0.008251446415458505,0.024754339246375517
V102,575,O,0.009055111686239145,0.027165335058717432
V102,600,Fe,0.008599626434187645,0.025798879302562937
V102,600,O,0.009412768499563089,0.028238305498689265
V102,625,Fe,0.008948210517916095,0.026844631553748288
V102,625,O,0.009771740262041986,0.02931522078612596
V102,650,Fe,0.00929715308431281,0.027891459252938428
V102,650,O,0.010131884881426632,0.030395654644279898
V102,675,Fe,0.009646415126959967,0.028939245380879903
V102,675,O,0.01049307972356644,0.03147923917069932
V102,700,Fe,0.00999596307590316,0.02998788922770948
V102,700,O,0.010855218441061043,0.03256565532318313
V102,725,Fe,0.010345767886238673,0.03103730365871602
V102,725,O,0.011218208393259712,0.03365462517977914
V102,750,Fe,0.010695804303416408,0.032087412910249226
V102,750,O,0.011581968534856458,0.034745905604569374
V102,775,Fe,0.011046050266676296,0.03313815080002889
